ID,Yakut Context,Yakut Question,Yakut Options,Yakut Answer,English Context,English Question,English Options,English Answer,corrected yakut context,corrected yakut question,corrected yakut options,corrected yakut answer
1,"Куоскалар күн аайы элбэх чаас утуйаллар, үксүн сылаас сиргэ.",Ханнык харамай сылаас сиргэ элбэхтик утуйарый?,"Ыт, Куоска, Балык, Көтөр",Куоска,"Cats sleep for many hours each day, usually in warm spots.",Which animal sleeps a lot in warm places?,"Dog, Cat, Fish, Bird",Cat,"Куоскалар күн аайы элбэх чаас утуйаллар, үксүн сылаас сиргэ.",Ханнык кыыл сылаас сиргэ элбэхтик утуйарый?,"Ыт, Куоска, Балык, Көтөр",Куоска
2,"Ардах былыттан түһэн, сири уулаах оҥорор.",Былыттан туох түһэрий?,"Хаар, Самыыр, Туман, Тыал",Самыыр,Rain falls from the clouds and makes the ground wet.,What falls from clouds?,"Snow, Rain, Fog, Wind",Rain,"Ардах былыттан түһэн, сири инчэҕэй оҥорор.",Былыттан туох түһэрий?,"Хаар, Ардах, Туман, Тыал",Ардах
3,Поездтар суолларынан айанныыллар уонна пассажирдары куораттарынан таһаллар.,Трассаларга туох сүүрэрий?,"Массыына, Автобус, Поезд, Велосипед",Поезд,Trains travel on tracks and carry passengers across cities.,What runs on tracks?,"Car, Bus, Train, Bike",Train,Поездтар тимир суолларынан айанныыллар уонна пассажирдары куораттарынан таһаллар.,Тимир суолга туох айанныырый?,"Массыына, Автобус, Поезд, Велосипед",Поезд
4,"Яблоколар кыһыл, саһыл, саргы буолуохтарын сөп, уонна маска үүнэллэр.",Ханнык фрукта маска үүнэрий?,"Дьаабылака, Банан, Виноград, Дыня",Дьаабылака,"Apples can be red, green, or yellow, and grow on trees.",Which fruit grows on trees?,"Apple, Banana, Grape, Melon",Apple,"Яблоколар кыһыл, саһыл, саргы буолуохтарын сөп, уонна маска үүнэллэр.",Ханнык фрукта маска үүнэрий?,"Дьаабылака, Банан, Виноград, Дыня",Дьаабылака
5,Күн күнүс биһиэхэ сырдыгы уонна сылааһы биэрэр.,Күнүс сырдыгы туох биэрэрий?,"Күн, Ыйдаҥа, Лаампа, Уот",Күн,The sun gives us light and heat during the daytime.,What gives light in the daytime?,"Sun, Moon, Lamp, Fire",Sun,Күн күнүс биһиэхэ сырдыгы уонна сылааһы биэрэр.,Күнүс сырдыгы туох биэрэрий?,"Күн, Ый, Лаампа, Уот",Күн
6,Кустар сымыыттарын уурарга уонна оҕолорун иитэргэ уйа тутталлар.,Кустар ханна сымыыттыылларый?,"Хайа хаспаҕа, Уйа, Мас, Хайаҕас",Уйа,Birds build nests to lay their eggs and raise chicks.,Where do birds lay eggs?,"Cave, Nest, Tree, Hole",Nest,Кустар сымыыттарын уурарга уонна оҕолорун иитэргэ уйа тутталлар.,Кустар ханна сымыыттыылларый?,"Хайа хаспаҕа, Уйа, Мас, Дьаама",Уйа
7,Үүт маҥан буолар уонна ынахтан уонна куобахтан тахсар.,Ынахтан туох тахсарый?,"Уу, Сок, Үүт, Арыы",Үүт,Milk is white and comes from cows and goats.,What comes from cows?,"Water, Juice, Milk, Oil",Milk,Үүт маҥан буолар уонна ынахтан уонна куобахтан тахсар.,Ынахтан туох тахсарый?,"Уу, Сок, Үүт, Арыы",Үүт
8,Арыылар уйаларга нектары хомуйан арыы оҥороллор.,Арыылар тугу оҥороллоруй?,"Үүт, Саахар, Воск, мүөт",мүөт,Bees collect nectar and make honey in hives.,What do bees make?,"Milk, Sugar, Wax, Honey",Honey,Арыылар уйаларга нектары хомуйан арыы оҥороллор.,Тигээйилэр тугу оҥороллоруй?,"Үүт, Саахар, Воск, мүөт",мүөт
9,Балыктар ууга сөтүөлүүллэр уонна жабердарынан тыыналлар.,Туох жаберынан тыынар?,"Көтөр, Баҕа, Балык, Моҕой",Балык,Fish swim in water and breathe through gills.,What breathes through gills?,"Bird, Frog, Fish, Snake",Fish,Балыктар ууга сөтүөлүүллэр уонна жабердарынан тыыналлар.,Туох хайыынан тыынар?,"Көтөр, Баҕа, Балык, Моҕой",Балык
10,Күһүн тымныйдаҕына мастан сэбирдэхтэрэ түһэллэр.,Күһүн мастан туох түһэрий?,"Хатырык, Сэбирдэхтэр, Хайалар, Орехтар",Сэбирдэхтэр,Leaves fall from trees during autumn when it gets cooler.,What falls from trees in autumn?,"Bark, Leaves, Rocks, Nuts",Leaves,Күһүн тымныйдаҕына мастан сэбирдэхтэрэ түһэллэр.,Күһүн мастан туох түһэрий?,"Хатырык, Сэбирдэхтэр, Хайалар, Орехтар",Сэбирдэхтэр
